county_fips,cdd_annual,hdd_annual
22011,3111,1266
22013,2649,1773
22015,2753,1779
22017,2831,1709
22019,3357,1126
22021,2681,1736
22023,3457,1052
22025,2775,1651
22027,2511,1932
22029,2800,1601
22031,2794,1660
22033,3352,1187
22035,2711,1888
22037,3123,1322
22039,3002,1321
22041,2731,1707
22043,2649,1657
22045,3235,1169
22047,3300,1176
22049,2569,1817
22051,3471,1047
22053,3282,1147
22055,3276,1192
22057,3449,1035
22059,2733,1649
22061,2547,1871
22063,3264,1251
22065,2702,1756
22067,2609,1929
22069,2732,1610
22071,3478,1087
22073,2614,1842
22075,3541,979
22077,3230,1262
22079,2794,1489
22081,2773,1685
22083,2680,1783
22085,2771,1573
22087,3473,1081
22089,3405,1092
22091,2966,1433
22093,3314,1177
22095,3351,1166
22097,3105,1297
22099,3238,1190
22101,3260,1135
22103,3239,1262
22105,3086,1378
22107,2725,1701
22109,3438,1037
22111,2537,1914
22113,3364,1125
22115,2855,1427
22117,2961,1447
22119,2647,1844
22121,3381,1165
22123,2681,1914
22125,3155,1312
22127,2605,1733
23001,477,6645
23003,258,8193
23005,460,6556
23007,191,8078
23009,347,6744
23011,474,6623
23013,330,6622
23015,392,6502
23017,295,7440
23019,360,7246
23021,235,8037
23023,453,6411
23025,219,8015
23027,374,6777
23029,278,6958
23031,486,6503
24001,928,4674
24003,1588,3620
24005,1309,4146
24009,1500,3581
24011,1365,3819
24013,1087,4430
24015,1203,4165
24017,1580,3519
24019,1490,3525
24021,1151,4310
24023,498,5391
24025,1286,4147
24027,1243,4118
24029,1436,3933
24031,1276,3969
24033,1480,3709
24035,1428,3821
24037,1507,3557
24039,1444,3403
24041,1477,3583
24043,1128,4488
24045,1336,3558
24047,1291,3480
24510,1636,3723
24511,1534,3674
25001,603,5174
25003,411,6359
25005,757,5150
25007,633,5082
25009,609,5686
25011,588,5956
25013,625,5688
25015,601,5817
25017,734,5516
25019,457,5145
25021,764,5272
25023,790,5069
25025,776,5180
25027,613,5733
26001,384,6614
26003,233,7551
26005,706,5440
26007,434,6511
26009,449,6357
26011,559,6011
26013,228,7935
26015,722,5568
26017,682,5698
26019,471,6237
26021,854,5132
26023,773,5423
26025,766,5471
26027,789,5276
26029,439,6396
26031,378,6624
26033,242,7480
26035,444,6394
26037,693,5654
26039,369,6743
26041,248,7260
26043,284,7564
26045,701,5623
26047,349,6618
26049,734,5500
26051,557,6084
26053,206,8079
26055,469,6239
26057,641,5777
26059,738,5458
26061,304,7491
26063,557,5806
26065,664,5674
26067,668,5702
26069,462,6279
26071,207,8059
26073,529,6081
26075,682,5586
26077,803,5350
26079,393,6567
26081,647,5688
26083,246,7617
26085,412,6392
26087,708,5560
26089,458,6208
26091,845,5196
26093,675,5620
26095,217,7755
26097,245,7342
26099,931,5075
26101,416,6355
26103,231,7824
26105,418,6267
26107,443,6305
26109,319,7042
26111,651,5789
26113,368,6660
26115,961,4970
26117,559,5969
26119,417,6569
26121,620,5590
26123,492,6061
26125,774,5414
26127,497,5999
26129,444,6463
26131,262,7685
26133,373,6621
26135,395,6665
26137,380,6710
26139,676,5461
26141,416,6557
26143,405,6586
26145,726,5582
26147,802,5295
26149,795,5290
26151,613,5699
26153,235,7452
26155,689,5610
26157,658,5680
26159,758,5294
26161,728,5491
26163,957,5047
26165,381,6591
27001,353,7864
27003,681,6748
27005,471,8000
27007,402,8271
27009,603,7080
27011,723,7069
27013,744,6566
27015,776,6589
27017,289,8033
27019,721,6593
27021,437,7807
27023,731,6928
27025,598,6885
27027,626,7643
27029,408,8273
27031,124,9073
27033,743,6640
27035,495,7453
27037,758,6429
27039,604,6716
27041,553,7447
27043,763,6516
27045,565,6715
27047,656,6613
27049,672,6570
27051,643,7292
27053,742,6564
27055,670,6344
27057,449,7977
27059,606,6947
27061,336,8283
27063,728,6653
27065,504,7227
27067,651,7001
27069,495,8248
27071,330,8564
27073,727,6976
27075,162,8922
27077,460,8104
27079,689,6596
27081,598,7209
27083,722,6843
27085,741,6638
27087,422,8237
27089,442,8388
27091,786,6514
27093,651,6924
27095,522,7219
27097,555,7249
27099,586,6693
27101,658,6928
27103,751,6548
27105,689,6836
27107,508,7976
27109,595,6647
27111,546,7631
27113,414,8451
27115,429,7425
27117,620,7099
27119,472,8170
27121,625,7217
27123,748,6528
27125,422,8346
27127,780,6667
27129,755,6711
27131,683,6608
27133,717,6733
27135,418,8412
27137,258,8503
27139,751,6455
27141,653,6898
27143,772,6534
27145,603,7122
27147,658,6675
27149,692,7124
27151,705,7040
27153,533,7362
27155,687,7187
27157,671,6455
27159,520,7607
27161,687,6642
27163,706,6602
27165,759,6578
27167,679,7365
27169,650,6427
27171,684,6792
27173,725,6895
28001,2714,1635
28003,1876,2764
28005,2701,1594
28007,2525,2168
28009,1908,2769
28011,2556,2215
28013,2243,2432
28015,2673,2071
28017,2281,2372
28019,2374,2277
28021,2657,1712
28023,2522,1953
28025,2442,2215
28027,2495,2312
28029,2640,1698
28031,2598,1738
28033,2265,2549
28035,2691,1614
28037,2611,1666
28039,2936,1469
28041,2664,1708
28043,2494,2238
28045,3083,1307
28047,3035,1327
28049,2734,1759
28051,2834,1931
28053,2988,1856
28055,2758,1878
28057,2166,2535
28059,3166,1294
28061,2500,1935
28063,2621,1700
28065,2646,1677
28067,2521,1841
28069,2500,2057
28071,2180,2542
28073,2736,1571
28075,2596,1930
28077,2693,1641
28079,2565,2044
28081,2252,2464
28083,2911,1915
28085,2570,1686
28087,2475,2209
28089,2763,1901
28091,2818,1535
28093,2068,2659
28095,2345,2355
28097,2439,2308
28099,2514,2044
28101,2571,1933
28103,2501,2140
28105,2500,2151
28107,2337,2443
28109,2917,1432
28111,2647,1676
28113,2671,1623
28115,2182,2506
28117,2031,2638
28119,2486,2302
28121,2680,1828
28123,2575,1945
28125,2846,1889
28127,2635,1755
28129,2571,1850
28131,2831,1480
28133,2809,2018
28135,2598,2173
28137,2258,2530
28139,1912,2748
28141,1925,2713
28143,2379,2427
28145,2133,2573
28147,2745,1565
28149,2738,1747
28151,2736,2022
28153,2430,1977
28155,2314,2344
28157,2868,1494
28159,2446,2156
28161,2302,2420
28163,2880,1839
29001,1197,4852
29003,1386,4581
29005,1262,4896
29007,1288,4470
29009,1562,3576
29011,1693,3667
29013,1535,3978
29015,1450,4016
29017,1514,3631
29019,1450,4192
29021,1466,4367
29023,1767,3254
29025,1288,4675
29027,1475,4101
29029,1608,3658
29031,1616,3573
29033,1333,4528
29035,1513,3461
29037,1515,4054
29039,1737,3562
29041,1373,4482
29043,1419,3778
29045,1181,4913
29047,1500,4296
29049,1371,4523
29051,1590,3823
29053,1483,4091
29055,1274,3983
29057,1691,3555
29059,1468,3864
29061,1285,4702
29063,1328,4609
29065,1198,4072
29067,1395,3654
29069,2012,2959
29071,1427,3968
